"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Merremia aegyptia (L.) Urb.","species","Plantae","alien","null","present","Madagascar","MDG","Distimake aegyptius","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Passiflora subpeltata Ortega","species","Plantae","alien","null","present","Madagascar","MDG","Passiflora subpeltata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Ambrosia maritima L.","species","Plantae","alien","null","present","Madagascar","MDG","Ambrosia maritima","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Camellia sinensis Kuntze","species","Plantae","alien","null","present","Madagascar","MDG","Camellia sinensis","Plantae","Tracheophyta","Magnoliopsida","Ericales","Theaceae","[""terrestrial""]",
"Passiflora edulis Sims","species","Plantae","alien","null","present","Madagascar","MDG","Passiflora edulis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Eragrostis unioloides (Retz.) Nees","species","Plantae","alien","null","present","Madagascar","MDG","Eragrostis unioloides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Brachiaria umbellata (Trin.) Clayton","species","Plantae","alien","null","present","Madagascar","MDG","Brachiaria umbellata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Gomphrena celosioides C.F.P.Mart.","species","Plantae","alien","null","present","Madagascar","MDG","Gomphrena serrata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Zornia gibbosa Span.","species","Plantae","alien","null","present","Madagascar","MDG","Zornia gibbosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Zingiber officinale Roscoe","species","Plantae","alien","null","present","Madagascar","MDG","Zingiber officinale","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","[""terrestrial""]",
"Ipomoea quamoclit L.","species","Plantae","alien","null","present","Madagascar","MDG","Ipomoea quamoclit","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Avena byzantina K.Koch","species","Plantae","alien","null","present","Madagascar","MDG","Avena byzantina","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Pentas lanceolata (Forssk.) Defl.","species","Plantae","alien","null","present","Madagascar","MDG","Pentas lanceolata","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Physalis angulata L.","species","Plantae","alien","null","present","Madagascar","MDG","Physalis angulata","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Azolla filiculoides Lam.","species","Plantae","alien","null","present","Madagascar","MDG","Azolla filiculoides","Plantae","Tracheophyta","Polypodiopsida","Salviniales","Salviniaceae","[""freshwater""]",
"Pseudoconyza viscosa (Mill.) D'Arcy","species","Plantae","alien","null","present","Madagascar","MDG","Pseudoconyza viscosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Chloris gayana Kunth","species","Plantae","alien","null","present","Madagascar","MDG","Chloris gayana","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Brachiaria eruciformis (Sm.) Griseb.","species","Plantae","alien","null","present","Madagascar","MDG","Brachiaria eruciformis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Persicaria senegalensis (Meisn.) Soják","species","Plantae","alien","null","present","Madagascar","MDG","Persicaria senegalensis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]",
"Commelina diffusa subsp. scandens (Welw. ex C.B.Clarke) Oberm.","species","Plantae","alien","null","present","Madagascar","MDG","Commelina scandens","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]",
"Aloe massawana Reynolds","species","Plantae","alien","null","present","Madagascar","MDG","Aloe massawana","Plantae","Tracheophyta","Liliopsida","Asparagales","Asphodelaceae","[""terrestrial""]",
"Adenanthera pavonina L.","species","Plantae","alien","null","present","Madagascar","MDG","Adenanthera pavonina","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Colocasia esculenta (L.) Schott","species","Plantae","alien","null","present","Madagascar","MDG","Colocasia esculenta","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]",
"Oxalis corniculata L.","species","Plantae","alien","null","present","Madagascar","MDG","Oxalis corniculata","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","[""terrestrial""]",
"Lawsonia inermis L.","species","Plantae","alien","null","present","Madagascar","MDG","Lawsonia inermis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","[""terrestrial""]",
"Polygonum plebejum R.Br.","species","Plantae","alien","null","present","Madagascar","MDG","Polygonum plebejum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]",
"Emilia humifusa DC.","species","Plantae","alien","null","present","Madagascar","MDG","Emilia humifusa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Cajanus scarabaeoides (L.) Thouars","species","Plantae","alien","null","present","Madagascar","MDG","Cajanus scarabaeoides","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Convolvulus farinosus L.","species","Plantae","alien","null","present","Madagascar","MDG","Convolvulus farinosus","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Sorghum arundinaceum (Desv.) Stapf","species","Plantae","alien","null","present","Madagascar","MDG","Sorghum arundinaceum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Eragrostis aspera Nees","species","Plantae","alien","null","present","Madagascar","MDG","Eragrostis aspera","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Sisyrinchium exile E.P.Bicknell","species","Plantae","alien","null","present","Madagascar","MDG","Sisyrinchium rosulatum","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","[""terrestrial""]",
