"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Ipomoea cairica (L.) Sweet","species","Plantae","alien","invasive","present","Tonga","TON","Ipomoea cairica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Panicum decompositum R.Br.","species","Plantae","alien","invasive","present","Tonga","TON","Panicum decompositum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Cynodon dactylon Pers.","species","Plantae","alien","invasive","present","Tonga","TON","Cynodon dactylon","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Conyza sumatrensis (S.F.Blake) Pruski & G.Sancho","species","Plantae","alien","null","present","Tonga","TON","Erigeron sumatrensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Phyllanthus amarus Schumach. & Thonn.","species","Plantae","cryptogenic|uncertain","null","present","Tonga","TON","Phyllanthus amarus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Phyllanthaceae","[""terrestrial""]",
"Panicum maximum Jacq.","species","Plantae","alien","invasive","present","Tonga","TON","Panicum maximum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Ligustrum lucidum W.T.Aiton","species","Plantae","alien","null","present","Tonga","TON","Ligustrum lucidum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","[""terrestrial""]",
"Annona reticulata L.","species","Plantae","alien","null","present","Tonga","TON","Annona reticulata","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Annonaceae","[""terrestrial""]",
"Setaria barbata (Lam.) Kunth","species","Plantae","alien","null","present","Tonga","TON","Setaria barbata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Pueraria montana var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep","variety","Plantae","alien","null","present","Tonga","TON","Pueraria montana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Sanchezia speciosa Leonard","species","Plantae","cryptogenic|uncertain","null","present","Tonga","TON","Sanchezia speciosa","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Triumfetta semitriloba Jacq.","species","Plantae","alien","invasive","present","Tonga","TON","Triumfetta semitriloba","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Anacardium occidentale L.","species","Plantae","alien","null","present","Tonga","TON","Anacardium occidentale","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","[""terrestrial""]",
"Cyanthillium cinereum (L.) H.Rob.","species","Plantae","alien","invasive","present","Tonga","TON","Cyanthillium cinereum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Youngia japonica DC.","species","Plantae","alien","invasive","present","Tonga","TON","Youngia japonica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Datura stramonium L.","species","Plantae","alien","null","present","Tonga","TON","Datura stramonium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Persea americana Mill.","species","Plantae","alien","null","present","Tonga","TON","Persea americana","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","[""terrestrial""]",
"Quisqualis indica L.","species","Plantae","alien","null","present","Tonga","TON","Combretum indicum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Combretaceae","[""terrestrial""]",
"Digitaria fuscescens Henrard","species","Plantae","alien","null","present","Tonga","TON","Digitaria fuscescens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Lepidium virginicum L.","species","Plantae","alien","invasive","present","Tonga","TON","Lepidium virginicum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]",
"Cheilocostus speciosus (J.Koenig) C.D.Specht","species","Plantae","alien","invasive","present","Tonga","TON","Hellenia speciosa","Plantae","Tracheophyta","Liliopsida","Zingiberales","Costaceae","[""terrestrial""]",
"Elephantopus mollis Kunth","species","Plantae","alien","invasive","present","Tonga","TON","Elephantopus mollis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Ocimum gratissimum L.","species","Plantae","alien","invasive","present","Tonga","TON","Ocimum gratissimum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Kyllinga nemoralis J.R. & G.Forst.","species","Plantae","alien","invasive","present","Tonga","TON","Kyllinga nemoralis","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Pyrostegia venusta Miers","species","Plantae","alien","null","present","Tonga","TON","Pyrostegia venusta","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]",
"Capsicum frutescens","species","Plantae","alien","null","present","Tonga","TON","Capsicum annuum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Chloris radiata Sw.","species","Plantae","alien","invasive","present","Tonga","TON","Chloris radiata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Pimenta racemosa (Mill.) J.W.Moore","species","Plantae","alien","invasive","present","Tonga","TON","Pimenta racemosa","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
"Clitoria ternatea L.","species","Plantae","alien","null","present","Tonga","TON","Clitoria ternatea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Sorghum bicolor (L.) Moench","species","Plantae","alien","null","present","Tonga","TON","Sorghum bicolor","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Oxalis corniculata L.","species","Plantae","alien","null","present","Tonga","TON","Oxalis corniculata","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","[""terrestrial""]",
"Merremia tuberosa Dammer","species","Plantae","alien","null","present","Tonga","TON","Merremia tuberosa","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Syzygium malaccense (L.) Merr. & L.M.Perry","species","Plantae","alien","null","present","Tonga","TON","Syzygium malaccense","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
"Eleusine indica (L.) Gaertn.","species","Plantae","alien","invasive","present","Tonga","TON","Eleusine indica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Passiflora foetida L.","species","Plantae","alien","invasive","present","Tonga","TON","Passiflora foetida","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Abelmoschus moschatus Medik.","species","Plantae","alien","null","present","Tonga","TON","Abelmoschus moschatus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Asparagus densiflorus (Kunth) Jessop","species","Plantae","alien","invasive","present","Tonga","TON","Asparagus densiflorus","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]",
"Orthosiphon aristatus (Blume) Miq.","species","Plantae","cryptogenic|uncertain","null","present","Tonga","TON","Orthosiphon aristatus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Ipomoea indica (Burm.) Merr.","species","Plantae","alien","null","present","Tonga","TON","Ipomoea indica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Chloris barbata Sw.","species","Plantae","alien","invasive","present","Tonga","TON","Chloris barbata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Sida rhombifolia L.","species","Plantae","alien","null","present","Tonga","TON","Sida rhombifolia","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Portulaca oleracea L.","species","Plantae","alien","invasive","present","Tonga","TON","Portulaca oleracea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Portulacaceae","[""terrestrial""]",
"Crassocephalum crepidioides (Benth.) S.Moore","species","Plantae","alien","invasive","present","Tonga","TON","Crassocephalum crepidioides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Flemingia strobilifera (L.) W.T.Aiton","species","Plantae","alien","invasive","present","Tonga","TON","Flemingia strobilifera","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Eclipta prostrata (L.) L.","species","Plantae","cryptogenic|uncertain","null","present","Tonga","TON","Eclipta alba","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Oryctes rhinoceros (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Tonga","TON","Oryctes rhinoceros","Animalia","Arthropoda","Insecta","Coleoptera","Dynastidae","[""terrestrial""]",
"Casuarina equisetifolia L.","species","Plantae","alien","null","present","Tonga","TON","Casuarina equisetifolia","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","[""terrestrial""]",
"Euphorbia hirta L.","species","Plantae","cryptogenic|uncertain","null","present","Tonga","TON","Euphorbia hirta","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Ficus benjamina L.","species","Plantae","alien","invasive","present","Tonga","TON","Ficus benjamina","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]",
"Calopogonium mucunoides Desv.","species","Plantae","cryptogenic|uncertain","null","present","Tonga","TON","Calopogonium mucunoides","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Physalis peruviana L.","species","Plantae","alien","invasive","present","Tonga","TON","Physalis peruviana","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Pluchea carolinensis G.Don","species","Plantae","alien","invasive","present","Tonga","TON","Pluchea carolinensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Acalypha lanceolata Willd.","species","Plantae","alien","null","present","Tonga","TON","Acalypha lanceolata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Passiflora subpeltata Ortega","species","Plantae","alien","invasive","present","Tonga","TON","Passiflora subpeltata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Achyranthes aspera L.","species","Plantae","alien","invasive","present","Tonga","TON","Achyranthes aspera","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Cardiospermum halicacabum L.","species","Plantae","alien","invasive","present","Tonga","TON","Cardiospermum halicacabum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]",
"Nicotiana tabacum L.","species","Plantae","alien","null","present","Tonga","TON","Nicotiana tabacum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Quadrastichus erythrinae Kim, 2004","species","Animalia","alien","null","present","Tonga","TON","Quadrastichus erythrinae","Animalia","Arthropoda","Insecta","Hymenoptera","Eulophidae","[""terrestrial""]",
"Merremia peltata (L.) Merr.","species","Plantae","alien","invasive","present","Tonga","TON","Merremia peltata","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Ligustrum sinense Lour.","species","Plantae","alien","invasive","present","Tonga","TON","Ligustrum sinense","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","[""terrestrial""]",
"Urochloa mutica T.Q.Nguyen (Forssk.)","species","Plantae","alien","invasive","present","Tonga","TON","Brachiaria mutica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Axonopus fissifolius (Raddi) Kuhlm.","species","Plantae","cryptogenic|uncertain","null","present","Tonga","TON","Axonopus fissifolius","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Cananga odorata (Lam.) Hook.f. & Thomson","species","Plantae","alien","invasive","present","Tonga","TON","Cananga odorata","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Annonaceae","[""terrestrial""]",
"Asystasia gangetica (L.) T.Anderson","species","Plantae","alien","invasive","present","Tonga","TON","Asystasia gangetica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Oplismenus burmanni (Retz.) P.Beauv.","species","Plantae","cryptogenic|uncertain","null","present","Tonga","TON","Oplismenus burmanni","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
