"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Physalis angulata L.","species","Plantae","alien","null","present","Cook Islands","COK","Physalis angulata","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Tradescantia spathacea Sw.","species","Plantae","alien","invasive","present","Cook Islands","COK","Tradescantia spathacea","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]",
"Gaillardia pulchella Foug.","species","Plantae","alien","invasive","present","Cook Islands","COK","Gaillardia pulchella","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Lawsonia inermis L.","species","Plantae","alien","null","present","Cook Islands","COK","Lawsonia inermis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","[""terrestrial""]",
"Salvia occidentalis Sw.","species","Plantae","alien","null","present","Cook Islands","COK","Salvia occidentalis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Mimosa diplotricha Sauvalle","species","Plantae","alien","invasive","present","Cook Islands","COK","Mimosa diplotricha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Cinnamomum verum J. S. Presl","species","Plantae","alien","invasive","present","Cook Islands","COK","Cinnamomum verum","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","[""terrestrial""]",
"Alocasia cucullata (Lour.) G.Don","species","Plantae","alien","invasive","present","Cook Islands","COK","Alocasia cucullata","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]",
"Thunbergia laurifolia Lindl.","species","Plantae","alien","null","present","Cook Islands","COK","Thunbergia laurifolia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Flemingia macrophylla (Willd.) Merr.","species","Plantae","alien","invasive","present","Cook Islands","COK","Flemingia macrophylla","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Eragrostis tenuifolia Hochst.","species","Plantae","alien","null","present","Cook Islands","COK","Eragrostis tenuifolia","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Eugenia uniflora L.","species","Plantae","alien","invasive","present","Cook Islands","COK","Eugenia uniflora","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
"Stenotaphrum secundatum (Walter) Kuntze","species","Plantae","alien","null","present","Cook Islands","COK","Stenotaphrum secundatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Ricinus communis L.","species","Plantae","alien","invasive","present","Cook Islands","COK","Ricinus communis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Ruellia brittoniana Leonard","species","Plantae","alien","invasive","present","Cook Islands","COK","Ruellia simplex","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Cestrum nocturnum L.","species","Plantae","alien","invasive","present","Cook Islands","COK","Cestrum nocturnum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Cleome viscosa L.","species","Plantae","alien","null","present","Cook Islands","COK","Corynandra viscosa","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Cleomaceae","[""terrestrial""]",
"Tithonia diversifolia (Hemsl.) A.Gray","species","Plantae","alien","invasive","present","Cook Islands","COK","Tithonia diversifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Nerium oleander L.","species","Plantae","alien","null","present","Cook Islands","COK","Nerium oleander","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Allamanda schottii Pohl","species","Plantae","alien","null","present","Cook Islands","COK","Allamanda schottii","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Homalodisca vitripennis (Germar, 1821)","species","Animalia","alien","null","present","Cook Islands","COK","Homalodisca vitripennis","Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","[""host""]",
"Flemingia strobilifera (L.) W.T.Aiton","species","Plantae","alien","null","present","Cook Islands","COK","Flemingia strobilifera","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Thunbergia grandiflora (Roxb. ex Rottl.) Roxb.","species","Plantae","alien","null","present","Cook Islands","COK","Thunbergia grandiflora","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Pilea nummulariifolia (Sw.) Wedd.","species","Plantae","alien","null","present","Cook Islands","COK","Pilea nummulariifolia","Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","[""terrestrial""]",
"Calopogonium mucunoides Desv.","species","Plantae","alien","invasive","present","Cook Islands","COK","Calopogonium mucunoides","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Solanum lycopersicum L.","species","Plantae","alien","null","present","Cook Islands","COK","Solanum lycopersicum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Canis lupus Linnaeus, 1758","species","Animalia","alien","null","present","Cook Islands","COK","Canis lupus","Animalia","Chordata","Mammalia","Carnivora","Canidae","[""terrestrial""]",
"Coffea arabica L.","species","Plantae","alien","invasive","present","Cook Islands","COK","Coffea arabica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Yucca aloifolia L.","species","Plantae","alien","null","present","Cook Islands","COK","Yucca aloifolia","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]",
"Nelumbo nucifera Gaertn.","species","Plantae","alien","null","present","Cook Islands","COK","Nelumbo nucifera","Plantae","Tracheophyta","Magnoliopsida","Proteales","Nelumbonaceae","[""freshwater""]",
"Crassocephalum crepidioides (Benth.) S.Moore","species","Plantae","alien","invasive","present","Cook Islands","COK","Crassocephalum crepidioides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Phyllanthus amarus Schumach. & Thonn.","species","Plantae","alien","null","present","Cook Islands","COK","Phyllanthus amarus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Phyllanthaceae","[""terrestrial""]",
"Hylocereus undatus (Haw.) Britton & Rose","species","Plantae","alien","null","present","Cook Islands","COK","Hylocereus undatus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]",
"Fleurya interrupta (L.) Gaud.","species","Plantae","alien","invasive","present","Cook Islands","COK","Laportea interrupta","Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","[""terrestrial""]",
"Calliandra surinamensis Benth.","species","Plantae","alien","null","present","Cook Islands","COK","Calliandra surinamensis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Digitaria sanguinalis (L.) Scop.","species","Plantae","alien","null","present","Cook Islands","COK","Digitaria sanguinalis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Grevillea banksii R. Br.","species","Plantae","alien","null","present","Cook Islands","COK","Grevillea banksii","Plantae","Tracheophyta","Magnoliopsida","Proteales","Proteaceae","[""terrestrial""]",
"Acacia aulacocarpa A.Cunn. ex Benth.","species","Plantae","alien","invasive","present","Cook Islands","COK","Acacia aulacocarpa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Gloriosa superba L.","species","Plantae","alien","invasive","present","Cook Islands","COK","Gloriosa superba","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","[""terrestrial""]",
"Justicia carnea Lindl.","species","Plantae","alien","invasive","present","Cook Islands","COK","Justicia carnea","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Xanthium strumarium L.","species","Plantae","alien","null","present","Cook Islands","COK","Xanthium strumarium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Commelina diffusa Burm. f.","species","Plantae","alien","invasive","present","Cook Islands","COK","Commelina diffusa","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]",
