"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Pseudelephantopus spicatus Rohr","species","Plantae","alien","invasive","present","Timor-Leste","TLS","Pseudelephantopus spicatus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Cenchrus polystachios (L.) Morrone","species","Plantae","alien","invasive","present","Timor-Leste","TLS","Cenchrus polystachios","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Elephantopus scaber L.","species","Plantae","alien","invasive","present","Timor-Leste","TLS","Elytropappus scaber","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Ziziphus mauritiana Lam.","species","Plantae","alien","invasive","present","Timor-Leste","TLS","Ziziphus mauritiana","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","[""terrestrial""]",
"Sida spinosa L.","species","Plantae","alien","null","present","Timor-Leste","TLS","Sida spinosa","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Tecoma stans (L.) Kunth","species","Plantae","alien","null","present","Timor-Leste","TLS","Tecoma stans","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]",
"Clerodendrum chinense (Osb.) Mabb.","species","Plantae","alien","null","present","Timor-Leste","TLS","Clerodendrum chinense","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Ipomoea tricolor Cav.","species","Plantae","alien","null","present","Timor-Leste","TLS","Ipomoea tricolor","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Thunbergia fragrans Roxb.","species","Plantae","alien","null","present","Timor-Leste","TLS","Thunbergia fragrans","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Bothriochloa ischaemum (L.) Keng","species","Plantae","alien","null","present","Timor-Leste","TLS","Bothriochloa ischaemum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Cyanthillium cinereum (L.) H.Rob.","species","Plantae","alien","invasive","present","Timor-Leste","TLS","Cyanthillium cinereum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Calliandra calothyrsus Meissner","species","Plantae","alien","null","present","Timor-Leste","TLS","Calliandra houstoniana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Euphorbia tithymaloides L.","species","Plantae","alien","null","present","Timor-Leste","TLS","Euphorbia tithymaloides","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Ficus elastica Roxb.","species","Plantae","alien","null","present","Timor-Leste","TLS","Ficus elastica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]",
"Proboscidea louisianica","species","Plantae","alien","null","present","Timor-Leste","TLS","Proboscidea louisianica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Martyniaceae","[""terrestrial""]",
"Gossypium barbadense Raf.","species","Plantae","alien","null","present","Timor-Leste","TLS","Gossypium barbadense","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Caladium bicolor (Aiton) Vent.","species","Plantae","alien","null","present","Timor-Leste","TLS","Caladium bicolor","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial""]",
