"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Cinnamomum verum J.Presl","species","Plantae","alien","invasive","present","Fiji","FJI","Cinnamomum verum","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","[""terrestrial""]",
"Aeschynomene indica L.","species","Plantae","alien","invasive","present","Fiji","FJI","Aeschynomene indica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Euphorbia heterophylla L.","species","Plantae","alien","null","present","Fiji","FJI","Euphorbia heterophylla","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Psidium cattleianum Sabine","species","Plantae","alien","invasive","present","Fiji","FJI","Psidium cattleianum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
"Desmodium heterocarpon (L.) DC.","species","Plantae","alien","invasive","present","Fiji","FJI","Desmodium heterocarpon","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Rattus norvegicus (Berkenhout, 1769)","species","Animalia","alien","invasive","present","Fiji","FJI","Rattus norvegicus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]",
"Paspalum urvillei Steud.","species","Plantae","alien","null","present","Fiji","FJI","Paspalum urvillei","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Rhinella marina (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Fiji","FJI","Rhinella marina","Animalia","Chordata","Amphibia","Anura","Bufonidae","[""terrestrial"",""freshwater""]",
"Erythrina subumbrans Merr.","species","Plantae","alien","invasive","present","Fiji","FJI","Erythrina subumbrans","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Jatropha gossypiifolia L.","species","Plantae","alien","invasive","present","Fiji","FJI","Jatropha gossypiifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Ricinus communis L.","species","Plantae","alien","invasive","present","Fiji","FJI","Ricinus communis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Spermacoce latifolia Aubl.","species","Plantae","alien","invasive","present","Fiji","FJI","Spermacoce alata","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Gossypium barbadense Raf.","species","Plantae","alien","invasive","present","Fiji","FJI","Gossypium barbadense","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Mimosa pigra L.","species","Plantae","alien","null","present","Fiji","FJI","Mimosa pigra","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Passiflora edulis Sims","species","Plantae","alien","invasive","present","Fiji","FJI","Passiflora edulis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Oreochromis urolepis (Norman, 1922)","species","Animalia","alien","null","present","Fiji","FJI","Oreochromis urolepis","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]",
"Derris malaccensis Prain","species","Plantae","alien","invasive","present","Fiji","FJI","Derris malaccensis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Hypophthalmichthys molitrix (Valenciennes, 1844)","species","Animalia","alien","invasive","present","Fiji","FJI","Hypophthalmichthys molitrix","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]",
"Ipomoea aquatica Forssk.","species","Plantae","alien","invasive","present","Fiji","FJI","Ipomoea aquatica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial"",""freshwater""]",
"Penaeus monodon Fabricius, 1798","species","Animalia","alien","null","present","Fiji","FJI","Penaeus monodon","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","[""marine""]",
"Schinus terebinthifolia Raddi","species","Plantae","alien","null","present","Fiji","FJI","Schinus terebinthifolia","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","[""terrestrial""]",
"Poecilia latipinna (Lesueur, 1821)","species","Animalia","alien","null","present","Fiji","FJI","Poecilia latipinna","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish"",""marine""]",
"Flacourtia rukam Zoll. & Moritzi","species","Plantae","alien","invasive","present","Fiji","FJI","Flacourtia rukam","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","[""terrestrial""]",
"Dacrycarpus imbricatus (Blume) de Laub.","species","Plantae","alien","null","present","Fiji","FJI","Dacrycarpus imbricatus","Plantae","Tracheophyta","Pinopsida","Pinales","Podocarpaceae","[""terrestrial""]",
"Dieffenbachia seguine Schott","species","Plantae","alien","invasive","present","Fiji","FJI","Dieffenbachia seguine","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial""]",
"Erigeron canadensis L.","species","Plantae","alien","null","present","Fiji","FJI","Erigeron canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Cuphea carthagenensis (Jacq.) J.F.Macbr.","species","Plantae","alien","null","present","Fiji","FJI","Cuphea carthagenensis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","[""terrestrial""]",
"Plantago major L.","species","Plantae","alien","invasive","present","Fiji","FJI","Plantago major","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]",
"Citrus limon (L.) Burm.f.","species","Plantae","alien","invasive","present","Fiji","FJI","Citrus limon","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","[""terrestrial""]",
"Pueraria montana var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep","variety","Plantae","alien","invasive","present","Fiji","FJI","Pueraria montana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Passiflora foetida L.","species","Plantae","alien","invasive","present","Fiji","FJI","Passiflora foetida","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Pennisetum pedicellatum Trin.","species","Plantae","alien","null","present","Fiji","FJI","Cenchrus pedicellatus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Arundina graminifolia Hochr.","species","Plantae","alien","invasive","present","Fiji","FJI","Arundina graminifolia","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","[""terrestrial""]",
"Delonix regia (Bojer) Raf.","species","Plantae","alien","invasive","present","Fiji","FJI","Delonix regia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Eriochloa procera (Retz.) C.E.Hubb.","species","Plantae","alien","invasive","present","Fiji","FJI","Eriochloa procera","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Tribulus terrestris L.","species","Plantae","alien","invasive","present","Fiji","FJI","Tribulus terrestris","Plantae","Tracheophyta","Magnoliopsida","Zygophyllales","Zygophyllaceae","[""terrestrial""]",
"Ischaemum rugosum Salisb.","species","Plantae","alien","invasive","present","Fiji","FJI","Ischaemum rugosum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Sida rhombifolia L.","species","Plantae","alien","invasive","present","Fiji","FJI","Sida rhombifolia","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Anoplolepis gracilipes (Smith, 1857)","species","Animalia","alien","invasive","present","Fiji","FJI","Anoplolepis gracilipes","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]",
"Nerium oleander L.","species","Plantae","alien","invasive","present","Fiji","FJI","Nerium oleander","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Sonchus arvensis L.","species","Plantae","alien","invasive","present","Fiji","FJI","Sonchus arvensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Fleurya interrupta (L.) Wight","species","Plantae","alien","invasive","present","Fiji","FJI","Laportea interrupta","Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","[""terrestrial""]",
"Pilea microphylla Liebm.","species","Plantae","alien","invasive","present","Fiji","FJI","Pilea microphylla","Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","[""terrestrial""]",
"Dichanthium annulatum Stapf","species","Plantae","alien","invasive","present","Fiji","FJI","Dichanthium annulatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Chamaecrista mimosoides (L.) Greene","species","Plantae","alien","null","present","Fiji","FJI","Chamaecrista mimosoides","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Annona squamosa L.","species","Plantae","alien","null","present","Fiji","FJI","Annona squamosa","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Annonaceae","[""terrestrial""]",
"Xanthomonas axonopodis Starr & Garces, 1950","species","Bacteria","alien","null","present","Fiji","FJI","Xanthomonas axonopodis","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","[""host""]",
"Digitaria fuscescens Henrard","species","Plantae","alien","invasive","present","Fiji","FJI","Digitaria fuscescens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Bambusa vulgaris Schrad. ex J.C.Wendl.","species","Plantae","alien","invasive","present","Fiji","FJI","Bambusa vulgaris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Cyprinus carpio Linnaeus, 1758","species","Animalia","alien","null","present","Fiji","FJI","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]",
"Celosia argentea L.","species","Plantae","alien","invasive","present","Fiji","FJI","Celosia argentea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Cyperus haspan L.","species","Plantae","alien","invasive","present","Fiji","FJI","Cyperus haspan","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Bos taurus Linnaeus, 1758","species","Animalia","alien","invasive","present","Fiji","FJI","Bos taurus","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","[""terrestrial""]",
"Phoenix dactylifera L.","species","Plantae","alien","invasive","present","Fiji","FJI","Phoenix dactylifera","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]",
"Syzygium malaccense (L.) Merr. & L.M.Perry","species","Plantae","alien","invasive","present","Fiji","FJI","Syzygium malaccense","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
"Solanum linnaeanum Hepper & P.-M.L.Jaeger","species","Plantae","alien","invasive","present","Fiji","FJI","Solanum linnaeanum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Pterophyllum scalare (Schultze, 1823)","species","Animalia","alien","null","present","Fiji","FJI","Pterophyllum scalare","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater""]",
"Kalanchoe pinnata Pers.","species","Plantae","alien","invasive","present","Fiji","FJI","Kalanchoe pinnata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Eleutheranthera ruderalis (Sw.) Sch.Bip.","species","Plantae","alien","invasive","present","Fiji","FJI","Eleutheranthera ruderalis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Paspalum vaginatum Sw.","species","Plantae","alien","invasive","present","Fiji","FJI","Paspalum vaginatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""brackish""]",
"Cordia alliodora (Ruiz & Pav.) Oken","species","Plantae","alien","null","present","Fiji","FJI","Cordia alliodora","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Ehretiaceae","[""terrestrial""]",
"Datura stramonium L.","species","Plantae","alien","invasive","present","Fiji","FJI","Datura stramonium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Indigofera suffruticosa Mill.","species","Plantae","alien","invasive","present","Fiji","FJI","Indigofera suffruticosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Plectranthus amboinicus (Lour.) Spreng.","species","Plantae","alien","invasive","present","Fiji","FJI","Coleus amboinicus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Melinis minutiflora P.Beauv.","species","Plantae","alien","invasive","present","Fiji","FJI","Melinis minutiflora","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Ipomoea cairica (L.) Sweet","species","Plantae","alien","invasive","present","Fiji","FJI","Ipomoea cairica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Desmodium scorpiurus (Sw.) Desv.","species","Plantae","alien","invasive","present","Fiji","FJI","Desmodium scorpiurus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Salix babylonica L.","species","Plantae","alien","invasive","present","Fiji","FJI","Salix babylonica","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","[""terrestrial""]",
"Lolium multiflorum Lam.","species","Plantae","alien","null","present","Fiji","FJI","Lolium multiflorum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Macroptilium atropurpureum (L.) Urb.","species","Plantae","alien","invasive","present","Fiji","FJI","Macroptilium atropurpureum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Tradescantia spathacea Sw.","species","Plantae","alien","invasive","present","Fiji","FJI","Tradescantia spathacea","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]",
"Imperata cylindrica (L.) P.Beauv.","species","Plantae","alien","invasive","present","Fiji","FJI","Imperata cylindrica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Rhynchosia minima (L.) DC.","species","Plantae","alien","invasive","present","Fiji","FJI","Rhynchosia minima","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Desmodium adscendens (Sw.) DC.","species","Plantae","alien","invasive","present","Fiji","FJI","Desmodium adscendens","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Aleurites moluccanus Willd.","species","Plantae","alien","invasive","present","Fiji","FJI","Aleurites moluccanus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Ziziphus mauritiana Lam.","species","Plantae","alien","invasive","present","Fiji","FJI","Ziziphus mauritiana","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","[""terrestrial""]",
"Elaeis guineensis Jacq.","species","Plantae","alien","null","present","Fiji","FJI","Elaeis guineensis","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]",
"Melia azedarach L.","species","Plantae","alien","invasive","present","Fiji","FJI","Melia azedarach","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]",
"Iguana iguana (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Fiji","FJI","Iguana iguana","Animalia","Chordata","Reptilia","Squamata","Iguanidae","[""terrestrial""]",
"Oryctes rhinoceros (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Fiji","FJI","Oryctes rhinoceros","Animalia","Arthropoda","Insecta","Coleoptera","Dynastidae","[""terrestrial""]",
"Ludwigia octovalvis (Jacq.) P.H.Raven","species","Plantae","alien","invasive","present","Fiji","FJI","Ludwigia octovalvis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]",
"Lobelia zeylanica L.","species","Plantae","alien","invasive","present","Fiji","FJI","Lobelia zeylanica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","[""terrestrial""]",
"Amaranthus tricolor L.","species","Plantae","alien","invasive","present","Fiji","FJI","Amaranthus tricolor","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Mucuna pruriens (L.) DC.","species","Plantae","alien","invasive","present","Fiji","FJI","Mucuna pruriens","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Fimbristylis littoralis Gaudich.","species","Plantae","alien","invasive","present","Fiji","FJI","Fimbristylis littoralis","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Oplismenus compositus P.Beauv.","species","Plantae","alien","invasive","present","Fiji","FJI","Oplismenus compositus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Argemone mexicana L.","species","Plantae","alien","invasive","present","Fiji","FJI","Argemone mexicana","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]",
"Solanum lycopersicum L.","species","Plantae","alien","invasive","present","Fiji","FJI","Solanum lycopersicum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
