"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Esox lucius Linnaeus, 1758","species","Animalia","alien","null","present","Iran (Islamic Republic of)","IRN","Esox lucius","Animalia","Chordata","Actinopterygii","Esociformes","Esocidae","[""freshwater"",""brackish""]"
"Scirpus maritimus L.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Bolboschoenus maritimus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Carassius gibelio (Bloch, 1782)","species","Animalia","alien","null","present","Iran (Islamic Republic of)","IRN","Carassius gibelio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Dichrostachys cinerea (L.) Wight & Arn.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Dichrostachys cinerea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Canna indica L.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Canna indica","Plantae","Tracheophyta","Liliopsida","Zingiberales","Cannaceae","[""terrestrial""]"
"Asclepias curassavica L.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Asclepias curassavica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Phragmites australis Trin. ex Steud.","species","Plantae","alien","invasive","present","Iran (Islamic Republic of)","IRN","Phragmites australis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Conyza bonariensis (L.) Cronq.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Erigeron bonariensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Parkinsonia aculeata L.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Parkinsonia aculeata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Amsinckia menziesii (Lehm.) A.Nels.Macbr.","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Amsinckia menziesii","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","[""terrestrial""]"
"Liza aurata (Risso, 1810)","species","Animalia","alien","null","present","Iran (Islamic Republic of)","IRN","Chelon auratus","Animalia","Chordata","Actinopterygii","Mugiliformes","Mugilidae","[""freshwater"",""brackish"",""marine""]"
"Pinus caribaea Morelet","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Pinus caribaea","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Cyprinus carpio Linnaeus, 1758","species","Animalia","alien","null","present","Iran (Islamic Republic of)","IRN","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Arthraxon hispidus (Thunb.) Makino","species","Plantae","alien","null","present","Iran (Islamic Republic of)","IRN","Arthraxon hispidus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Prosopis juliflora (Sw.) DC.","species","Plantae","alien","invasive","present","Iran (Islamic Republic of)","IRN","Prosopis juliflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Oncorhynchus keta (Walbaum, 1792)","species","Animalia","alien","null","present","Iran (Islamic Republic of)","IRN","Oncorhynchus keta","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Salmo trutta Linnaeus, 1758","species","Animalia","alien","null","present","Iran (Islamic Republic of)","IRN","Salmo trutta","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
