"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Neonotonia wightii (Arn.) J.A.Lackey","species","Plantae","alien","invasive","present","Niue","NIU","Neonotonia wightii","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Euphorbia hypericifolia L.","species","Plantae","alien","invasive","present","Niue","NIU","Euphorbia hypericifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Tecoma capensis Lindl.","species","Plantae","alien","null","present","Niue","NIU","Tecoma capensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]",
"Axonopus fissifolius (Raddi) Kuhlm.","species","Plantae","alien","invasive","present","Niue","NIU","Axonopus fissifolius","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Datura metel L.","species","Plantae","alien","null","present","Niue","NIU","Datura metel","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Tetramorium simillimum (Smith, 1851)","species","Animalia","alien","null","present","Niue","NIU","Tetramorium simillimum","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]",
"Passiflora quadrangularis L.","species","Plantae","alien","null","present","Niue","NIU","Passiflora quadrangularis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Waltheria indica L.","species","Plantae","alien","null","present","Niue","NIU","Waltheria indica","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Alternanthera brasiliana Kuntze","species","Plantae","alien","null","present","Niue","NIU","Alternanthera brasiliana","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Cynodon dactylon Pers.","species","Plantae","alien","invasive","present","Niue","NIU","Cynodon dactylon","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Episcia cupreata Hanst.","species","Plantae","alien","null","present","Niue","NIU","Episcia cupreata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Gesneriaceae","[""terrestrial""]",
"Tetramorium smithi Mayr, 1879","species","Animalia","alien","null","present","Niue","NIU","Tetramorium smithi","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]",
"Argemone mexicana L.","species","Plantae","alien","null","present","Niue","NIU","Argemone mexicana","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]",
"Polygala paniculata L.","species","Plantae","alien","null","present","Niue","NIU","Polygala paniculata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Polygalaceae","[""terrestrial""]",
"Chamaecrista nictitans Moench","species","Plantae","alien","invasive","present","Niue","NIU","Chamaecrista nictitans","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Toona ciliata M.Roem.","species","Plantae","alien","null","present","Niue","NIU","Toona ciliata","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]",
"Echinochloa colona (L.) Link","species","Plantae","alien","null","present","Niue","NIU","Echinochloa colona","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Ricinus communis L.","species","Plantae","alien","invasive","present","Niue","NIU","Ricinus communis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Thunbergia alata Bojer ex Sims","species","Plantae","alien","null","present","Niue","NIU","Thunbergia alata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Melia azedarach L.","species","Plantae","alien","invasive","present","Niue","NIU","Melia azedarach","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]",
"Lablab purpureus Sweet","species","Plantae","alien","null","present","Niue","NIU","Lablab purpureus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Jatropha curcas L.","species","Plantae","alien","null","present","Niue","NIU","Jatropha curcas","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Rattus rattus (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Niue","NIU","Rattus rattus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]",
"Stachytarpheta cayennensis (Rich.) Vahl","species","Plantae","alien","invasive","present","Niue","NIU","Stachytarpheta cayennensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]",
"Carludovica palmata Ruiz & Pav.","species","Plantae","alien","null","present","Niue","NIU","Carludovica palmata","Plantae","Tracheophyta","Liliopsida","Pandanales","Cyclanthaceae","[""terrestrial""]",
