"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Melastoma malabathricum L.","species","Plantae","alien","null","present","Indonesia","IDN","Melastoma malabathricum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","[""terrestrial""]",
"Passiflora edulis Sims","species","Plantae","alien","invasive","present","Indonesia","IDN","Passiflora edulis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Solanum giganteum Jacq.","species","Plantae","alien","invasive","present","Indonesia","IDN","Solanum giganteum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Sphenoclea zeylanica Gaertn.","species","Plantae","alien","invasive","present","Indonesia","IDN","Sphenoclea zeylanica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Sphenocleaceae","[""terrestrial""]",
"Cerastium glomeratum Thuill.","species","Plantae","alien","invasive","present","Indonesia","IDN","Cerastium glomeratum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]",
"Poecilia latipinna (Lesueur, 1821)","species","Animalia","alien","null","present","Indonesia","IDN","Poecilia latipinna","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish"",""marine""]",
"Bauhinia purpurea L.","species","Plantae","alien","invasive","present","Indonesia","IDN","Bauhinia purpurea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Corvus splendens Vieillot, 1817","species","Animalia","alien","null","present","Indonesia","IDN","Corvus splendens","Animalia","Chordata","Aves","Passeriformes","Corvidae","[""terrestrial""]",
"Tithonia rotundifolia S.F.Blake","species","Plantae","alien","invasive","present","Indonesia","IDN","Tithonia rotundifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Thespesia lampas (Cav.) Dalzell","species","Plantae","alien","invasive","present","Indonesia","IDN","Thespesia lampas","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Typha latifolia L.","species","Plantae","alien","invasive","present","Indonesia","IDN","Typha latifolia","Plantae","Tracheophyta","Liliopsida","Poales","Typhaceae","[""terrestrial"",""freshwater""]",
"Clidemia hirta var. hirta","variety","Plantae","alien","invasive","present","Indonesia","IDN","Clidemia hirta","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","[""terrestrial""]",
"Acanthogobius flavimanus (Temminck & Schlegel, 1845)","species","Animalia","alien","invasive","present","Indonesia","IDN","Acanthogobius flavimanus","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","[""freshwater"",""brackish"",""marine""]",
"Cirrhinus chinensis Günther, 1868","species","Animalia","alien","null","present","Indonesia","IDN","Cirrhinus molitorella","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater""]",
