"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Sturnus vulgaris Linnaeus, 1758","species","Animalia","alien","null","present","South Africa","ZAF","Sturnus vulgaris","Animalia","Chordata","Aves","Passeriformes","Sturnidae","[""terrestrial""]",
"Conyza bonariensis (L.) Cronquist","species","Plantae","alien","invasive","present","South Africa","ZAF","Erigeron bonariensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Varanus acanthurus Boulenger, 1885","species","Animalia","alien","null","present","South Africa","ZAF","Varanus acanthurus","Animalia","Chordata","Reptilia","Squamata","Varanidae","[""terrestrial""]",
"Ficus carica L.","species","Plantae","alien","invasive","present","South Africa","ZAF","Ficus carica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]",
"Hakea salicifolia (Vent.) B. L. Burtt","species","Plantae","alien","invasive","present","South Africa","ZAF","Hakea salicifolia","Plantae","Tracheophyta","Magnoliopsida","Proteales","Proteaceae","[""terrestrial""]",
"Tragopogon porrifolius Pall.","species","Plantae","alien","null","present","South Africa","ZAF","Tragopogon porrifolius","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Citrus limon (L.) Burm. fil.","species","Plantae","alien","null","present","South Africa","ZAF","Citrus limon","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","[""terrestrial""]",
"Celtis sinensis Pers.","species","Plantae","alien","null","present","South Africa","ZAF","Celtis sinensis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Cannabaceae","[""terrestrial""]",
"Oreochromis niloticus (Linnaeus, 1758)","species","Animalia","alien","null","present","South Africa","ZAF","Oreochromis niloticus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]",
"Schinus terebinthifolia Raddi","species","Plantae","alien","invasive","present","South Africa","ZAF","Schinus terebinthifolia","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","[""terrestrial""]",
"Hemidactylus frenatus Schlegel, 1836","species","Animalia","alien","null","present","South Africa","ZAF","Hemidactylus frenatus","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","[""terrestrial""]",
"Echinopsis huascha (F.A.C. Weber) H. Friedrich & G.D. Rowley","species","Plantae","alien","null","present","South Africa","ZAF","Echinopsis huascha","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]",
"Metasequoia glyptostroboides H. H. Hu & W. C. Cheng","species","Plantae","alien","null","present","South Africa","ZAF","Metasequoia glyptostroboides","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","[""terrestrial""]",
"Afrocarpus falcatus (Thunb.) C. N. Page","species","Plantae","alien","null","present","South Africa","ZAF","Afrocarpus falcatus","Plantae","Tracheophyta","Pinopsida","Pinales","Podocarpaceae","[""terrestrial""]",
"Ctenarytaina eucalypti (Maskell, 1890)","species","Animalia","alien","null","present","South Africa","ZAF","Ctenarytaina eucalypti","Animalia","Arthropoda","Insecta","Hemiptera","Aphalaridae","[""host""]",
"Centaurea cyanus L.","species","Plantae","alien","null","present","South Africa","ZAF","Cyanus segetum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Kalanchoe beharensis Drake","species","Plantae","alien","null","present","South Africa","ZAF","Kalanchoe beharensis","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","[""terrestrial""]",
"Schlettererius cinctipes (Cresson, 1880)","species","Animalia","alien","null","present","South Africa","ZAF","Schlettererius cinctipes","Animalia","Arthropoda","Insecta","Hymenoptera","Stephanidae","[""terrestrial""]",
