"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Lantana montevidensis Briq.","species","Plantae","alien","null","present","China","CHN","Lantana montevidensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]",
"Rhynchophorus ferrugineus Heyne, A.-Taschenberg & O., 1908","species","Animalia","alien","invasive","present","China","CHN","Rhynchophorus ferrugineus","Animalia","Arthropoda","Insecta","Coleoptera","Dryophthoridae","[""terrestrial""]",
"Apolemichthys arcuatus (Gray, 1831)","species","Animalia","alien","null","present","China","CHN","Apolemichthys arcuatus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacanthidae","[""marine""]",
"Cuscuta approximata Bab.","species","Plantae","alien","invasive","present","China","CHN","Cuscuta approximata","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""host""]",
"Catla catla (Hamilton, 1822)","species","Animalia","alien","null","present","China","CHN","Gibelion catla","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]",
"Takifugu rubripes (Temminck & Schlegel, 1850)","species","Animalia","alien","null","present","China","CHN","Takifugu rubripes","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","[""freshwater"",""brackish"",""marine""]",
"Clarias batrachus (Linnaeus, 1758)","species","Animalia","alien","invasive","present","China","CHN","Clarias batrachus","Animalia","Chordata","Actinopterygii","Siluriformes","Clariidae","[""freshwater"",""brackish""]",
"Artemia franciscana Kellogg, 1906","species","Animalia","alien","null","present","China","CHN","Artemia franciscana","Animalia","Arthropoda","Branchiopoda","Anostraca","Artemiidae","[""freshwater"",""brackish""]",
"Ranunculus marginatus d'Urv.","species","Plantae","alien","invasive","present","China","CHN","Ranunculus marginatus","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","[""terrestrial""]",
"Botrylloides perspicuus (Herdman, 1886)","species","Animalia","alien","null","present","China","CHN","Botrylloides perspicuus","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","[""marine""]",
"Soliva anthemifolia R.Br.","species","Plantae","alien","invasive","present","China","CHN","Soliva anthemifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Euphorbia prostrata Aiton","species","Plantae","alien","invasive","present","China","CHN","Euphorbia prostrata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Sonchus asper Hill","species","Plantae","alien","null","present","China","CHN","Sonchus asper","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Amaranthus tuberculatus (Moq.)J. D. Sauer","species","Plantae","alien","invasive","present","China","CHN","Amaranthus tuberculatus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Capra hircus Linnaeus, 1758","species","Animalia","alien","null","present","China","CHN","Capra hircus","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","[""terrestrial""]",
"Lithobates catesbeianus (Shaw, 1802)","species","Animalia","alien","invasive","present","China","CHN","Lithobates catesbeianus","Animalia","Chordata","Amphibia","Anura","Ranidae","[""terrestrial"",""freshwater""]",
