"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Dipsacus fullonum Miller","species","Plantae","alien","null","present","Bolivia (Plurinational State of)","BOL","Dipsacus sativus","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","[""terrestrial""]"
"Cyprinus carpio Linnaeus, 1758","species","Animalia","alien","invasive","present","Bolivia (Plurinational State of)","BOL","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Cenchrus ciliaris L.","species","Plantae","alien","null","present","Bolivia (Plurinational State of)","BOL","Cenchrus ciliaris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Asphodelus tenuifolius Cav.","species","Plantae","alien","null","present","Bolivia (Plurinational State of)","BOL","Asphodelus tenuifolius","Plantae","Tracheophyta","Liliopsida","Asparagales","Asphodelaceae","[""terrestrial""]"
"Populus alba L.","species","Plantae","alien","null","present","Bolivia (Plurinational State of)","BOL","Populus alba","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","[""terrestrial""]"
"Croton glandulosus L.","species","Plantae","alien","null","present","Bolivia (Plurinational State of)","BOL","Croton glandulosus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Eragrostis amabilis (L.) Wight & Arn.","species","Plantae","alien","null","present","Bolivia (Plurinational State of)","BOL","Eragrostis amabilis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Arapaima gigas (Schinz, 1822)","species","Animalia","alien","invasive","present","Bolivia (Plurinational State of)","BOL","Arapaima gigas","Animalia","Chordata","Actinopterygii","Osteoglossiformes","Arapaimidae","[""freshwater""]"
"Hypophthalmichthys nobilis (Richardson, 1845)","species","Animalia","alien","null","present","Bolivia (Plurinational State of)","BOL","Hypophthalmichthys nobilis","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Euphorbia klotzschii Oudejans","species","Plantae","alien","null","present","Bolivia (Plurinational State of)","BOL","Euphorbia klotzschii","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Sorghum halepense Pers.","species","Plantae","alien","invasive","present","Bolivia (Plurinational State of)","BOL","Sorghum halepense","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Corbicula fluminea (O.F.Müller, 1774)","species","Animalia","alien","invasive","present","Bolivia (Plurinational State of)","BOL","Corbicula fluminea","Animalia","Mollusca","Bivalvia","Venerida","Cyrenidae","[""freshwater""]"
