"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Ottelia ovalifolia (R.Br.) Rich.","species","Plantae","alien","invasive","present","New Zealand","NZL","Ottelia ovalifolia","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""freshwater""]"
"Cantareus aspersus (O.F.Müller, 1774)","species","Animalia","alien","null","present","New Zealand","NZL","Cornu aspersum","Animalia","Mollusca","Gastropoda","Stylommatophora","Helicidae","[""terrestrial""]"
"Leucandra compacta (Carter, 1886)","species","Animalia","alien","null","present","New Zealand","NZL","Leucandra compacta","Animalia","Porifera","Calcarea","Leucosolenida","Grantiidae","[""marine""]"
"Plagiolepis alluaudi Emery, 1894","species","Animalia","alien","null","present","New Zealand","NZL","Plagiolepis alluaudi","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Hieracium pilosella L.","species","Plantae","alien","invasive","present","New Zealand","NZL","Pilosella officinarum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Lysmata californica (Stimpson, 1866)","species","Animalia","alien","null","present","New Zealand","NZL","Lysmata californica","Animalia","Arthropoda","Malacostraca","Decapoda","Hippolytidae","[""marine""]"
"Utricularia gibba L.","species","Plantae","alien","invasive","present","New Zealand","NZL","Utricularia gibba","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lentibulariaceae","[""terrestrial""]"
"Hieracium stoloniflorum Wimm.","species","Plantae","alien","null","present","New Zealand","NZL","Hieracium stoloniflorum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Erica caffra L.","species","Plantae","alien","invasive","present","New Zealand","NZL","Erica caffra","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","[""terrestrial""]"
"Symplegma brakenhielmi (Michaelsen, 1904)","species","Animalia","alien","null","present","New Zealand","NZL","Symplegma brakenhielmi","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","[""marine""]"
"Rattus rattus (Linnaeus, 1758)","species","Animalia","alien","invasive","present","New Zealand","NZL","Rattus rattus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Polistes chinensis (Fabricius, 1793)","species","Animalia","alien","invasive","present","New Zealand","NZL","Polistes chinensis","Animalia","Arthropoda","Insecta","Hymenoptera","Eumenidae","[""terrestrial""]"
"Vosmaeropsis macera (Carter, 1886)","species","Animalia","alien","null","present","New Zealand","NZL","Vosmaeropsis macera","Animalia","Porifera","Calcarea","Leucosolenida","Heteropiidae","[""marine""]"
"Grateloupia turuturu Yamada","species","Plantae","alien","null","present","New Zealand","NZL","Grateloupia turuturu","Plantae","Rhodophyta","Florideophyceae","Halymeniales","Halymeniaceae","[""marine""]"
"Bugulina simplex (Hincks, 1886)","species","Animalia","alien","null","present","New Zealand","NZL","Bugulina simplex","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Bugulidae","[""marine""]"
"Prunus domestica L.","species","Plantae","alien","invasive","present","New Zealand","NZL","Prunus domestica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Psidium guajava L.","species","Plantae","alien","invasive","present","New Zealand","NZL","Psidium guajava","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Monocorophium acherusicum (Costa, 1853)","species","Animalia","alien","null","present","New Zealand","NZL","Monocorophium acherusicum","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","[""marine""]"
"Taxus baccata L.","species","Plantae","alien","null","present","New Zealand","NZL","Taxus baccata","Plantae","Tracheophyta","Pinopsida","Pinales","Taxaceae","[""terrestrial""]"
"Phyllostachys aurea Riviere & C.Riviere","species","Plantae","alien","invasive","present","New Zealand","NZL","Phyllostachys aurea","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Petrogale penicillata (Gray, 1827)","species","Animalia","alien","null","present","New Zealand","NZL","Petrogale penicillata","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","[""terrestrial""]"
"Eucalyptus globulus Labill.","species","Plantae","alien","null","present","New Zealand","NZL","Eucalyptus globulus","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Megabalanus coccopoma (Darwin, 1854)","species","Animalia","alien","null","present","New Zealand","NZL","Megabalanus coccopoma","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","[""marine""]"
"Glyceria fluitans R.Br.","species","Plantae","alien","invasive","present","New Zealand","NZL","Glyceria fluitans","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Eucalyptus delegatensis R.T.Baker","species","Plantae","alien","invasive","present","New Zealand","NZL","Eucalyptus delegatensis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Brassica rapa subsp. sylvestris (Lam.) Janch.","subspecies","Plantae","alien","invasive","present","New Zealand","NZL","Brassica rapa","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Marchantia polymorpha subsp. ruderalis Bischl. & Boissel.-Dub.","subspecies","Plantae","alien","null","present","New Zealand","NZL","Marchantia polymorpha","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","[""terrestrial""]"
"Lupinus polyphyllus Lindl.","species","Plantae","alien","invasive","present","New Zealand","NZL","Lupinus polyphyllus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Eudendrium generale von Lendenfeld, 1885","species","Animalia","alien","null","present","New Zealand","NZL","Eudendrium generale","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Eudendriidae","[""marine""]"
